Text,Personality
I actively participate in events #497,Extrovert
I love hanging out with friends #951,Extrovert
I prefer texting over calling #989,Introvert
I enjoy talking on calls for hours #932,Extrovert
I avoid large crowds #524,Introvert
I enjoy parties and social events #616,Extrovert
I feel bored when alone #634,Extrovert
I prefer staying home on weekends #979,Introvert
I actively participate in events #701,Extrovert
I enjoy quiet evenings at home #863,Introvert
I love hanging out with friends #170,Extrovert
I like small group conversations #16,Introvert
I like working independently #263,Introvert
I prefer staying home on weekends #832,Introvert
I actively participate in events #85,Extrovert
I like being the center of attention #942,Extrovert
I like being the center of attention #528,Extrovert
I enjoy solo hobbies like painting #244,Introvert
I like working independently #557,Introvert
I enjoy group activities #407,Extrovert
I like working independently #440,Introvert
I like working in teams #388,Extrovert
I enjoy quiet evenings at home #507,Introvert
I like working in teams #790,Extrovert
I feel comfortable being alone #945,Introvert
I love meeting new people #273,Extrovert
I like being the center of attention #648,Extrovert
I like small group conversations #543,Introvert
I enjoy talking on calls for hours #49,Extrovert
I feel drained after social gatherings #53,Introvert
I enjoy group activities #151,Extrovert
I enjoy solo hobbies like painting #422,Introvert
I enjoy talking on calls for hours #279,Extrovert
I enjoy quiet evenings at home #718,Introvert
I like working independently #899,Introvert
I avoid large crowds #981,Introvert
I feel bored when alone #346,Extrovert
I enjoy parties and social events #589,Extrovert
I like working in teams #203,Extrovert
I enjoy solo hobbies like painting #685,Introvert
I enjoy talking on calls for hours #271,Extrovert
I love hanging out with friends #723,Extrovert
I like small group conversations #835,Introvert
I enjoy quiet evenings at home #568,Introvert
I like working independently #922,Introvert
I feel comfortable being alone #110,Introvert
I feel comfortable being alone #584,Introvert
I like working in teams #397,Extrovert
I enjoy group activities #247,Extrovert
I prefer staying home on weekends #500,Introvert
I enjoy parties and social events #385,Extrovert
I enjoy group activities #611,Extrovert
I enjoy talking on calls for hours #154,Extrovert
I feel drained after social gatherings #156,Introvert
I prefer texting over calling #254,Introvert
I love meeting new people #944,Extrovert
I enjoy solo hobbies like painting #573,Introvert
I enjoy group activities #653,Extrovert
I like working in teams #728,Extrovert
I prefer texting over calling #780,Introvert
I feel comfortable being alone #881,Introvert
I feel bored when alone #156,Extrovert
I actively participate in events #453,Extrovert
I love hanging out with friends #935,Extrovert
I enjoy parties and social events #709,Extrovert
I feel drained after social gatherings #481,Introvert
I love meeting new people #721,Extrovert
I love meeting new people #396,Extrovert
I enjoy solo hobbies like painting #333,Introvert
I avoid large crowds #527,Introvert
I feel energized in crowds #44,Extrovert
I actively participate in events #336,Extrovert
I feel drained after social gatherings #530,Introvert
I avoid large crowds #193,Introvert
I feel comfortable being alone #85,Introvert
I enjoy group activities #980,Extrovert
I enjoy group activities #505,Extrovert
I prefer spending time alone reading books #673,Introvert
I feel drained after social gatherings #656,Introvert
I avoid large crowds #388,Introvert
I enjoy talking on calls for hours #567,Extrovert
I prefer texting over calling #488,Introvert
I love meeting new people #191,Extrovert
I feel energized in crowds #865,Extrovert
I love meeting new people #143,Extrovert
I feel bored when alone #122,Extrovert
I feel bored when alone #133,Extrovert
I avoid large crowds #738,Introvert
I like working independently #679,Introvert
I actively participate in events #824,Extrovert
I love hanging out with friends #404,Extrovert
I prefer staying home on weekends #852,Introvert
I enjoy parties and social events #196,Extrovert
I like working in teams #50,Extrovert
I love meeting new people #383,Extrovert
I love meeting new people #741,Extrovert
I like working in teams #492,Extrovert
I like being the center of attention #789,Extrovert
I enjoy parties and social events #759,Extrovert
I actively participate in events #483,Extrovert
I like being the center of attention #356,Extrovert
I feel energized in crowds #258,Extrovert
I actively participate in events #763,Extrovert
I enjoy quiet evenings at home #455,Introvert
I enjoy solo hobbies like painting #391,Introvert
I feel energized in crowds #800,Extrovert
I like being the center of attention #59,Extrovert
I avoid large crowds #712,Introvert
I feel comfortable being alone #762,Introvert
I prefer texting over calling #497,Introvert
I avoid large crowds #304,Introvert
I like being the center of attention #183,Extrovert
I love meeting new people #553,Extrovert
I love hanging out with friends #181,Extrovert
I prefer spending time alone reading books #515,Introvert
I feel drained after social gatherings #36,Introvert
I love hanging out with friends #75,Extrovert
I enjoy parties and social events #294,Extrovert
I feel comfortable being alone #260,Introvert
I love hanging out with friends #320,Extrovert
I enjoy group activities #413,Extrovert
I avoid large crowds #343,Introvert
I enjoy quiet evenings at home #642,Introvert
I like being the center of attention #384,Extrovert
I like working independently #133,Introvert
I feel energized in crowds #957,Extrovert
I enjoy group activities #235,Extrovert
I enjoy talking on calls for hours #557,Extrovert
I like working in teams #645,Extrovert
I avoid large crowds #774,Introvert
I avoid large crowds #886,Introvert
I prefer spending time alone reading books #929,Introvert
I like being the center of attention #257,Extrovert
I avoid large crowds #844,Introvert
I love meeting new people #481,Extrovert
I actively participate in events #698,Extrovert
I feel drained after social gatherings #197,Introvert
I enjoy group activities #339,Extrovert
I enjoy quiet evenings at home #286,Introvert
I enjoy parties and social events #428,Extrovert
I enjoy talking on calls for hours #753,Extrovert
I love hanging out with friends #570,Extrovert
I love meeting new people #327,Extrovert
I enjoy group activities #760,Extrovert
I enjoy solo hobbies like painting #820,Introvert
I avoid large crowds #117,Introvert
I enjoy solo hobbies like painting #555,Introvert
I feel energized in crowds #982,Extrovert
I prefer staying home on weekends #491,Introvert
I feel bored when alone #887,Extrovert
I avoid large crowds #674,Introvert
I like working in teams #120,Extrovert
I avoid large crowds #661,Introvert
I prefer staying home on weekends #379,Introvert
I enjoy group activities #421,Extrovert
I like small group conversations #846,Introvert
I feel bored when alone #425,Extrovert
I love meeting new people #595,Extrovert
I like working in teams #919,Extrovert
I like small group conversations #385,Introvert
I actively participate in events #205,Extrovert
I enjoy parties and social events #180,Extrovert
I enjoy group activities #108,Extrovert
I enjoy parties and social events #227,Extrovert
I like small group conversations #242,Introvert
I love meeting new people #796,Extrovert
I avoid large crowds #114,Introvert
I like being the center of attention #952,Extrovert
I love hanging out with friends #863,Extrovert
I feel bored when alone #145,Extrovert
I prefer spending time alone reading books #201,Introvert
I actively participate in events #377,Extrovert
I like working in teams #466,Extrovert
I feel drained after social gatherings #697,Introvert
I enjoy parties and social events #703,Extrovert
I like small group conversations #779,Introvert
I actively participate in events #993,Extrovert
I love meeting new people #123,Extrovert
I love hanging out with friends #39,Extrovert
I enjoy talking on calls for hours #768,Extrovert
I enjoy parties and social events #499,Extrovert
I feel drained after social gatherings #933,Introvert
I love meeting new people #331,Extrovert
I like small group conversations #859,Introvert
I avoid large crowds #401,Introvert
I feel drained after social gatherings #199,Introvert
I prefer spending time alone reading books #381,Introvert
I like working independently #206,Introvert
I enjoy talking on calls for hours #798,Extrovert
I prefer spending time alone reading books #663,Introvert
I love meeting new people #609,Extrovert
I feel energized in crowds #93,Extrovert
I feel comfortable being alone #224,Introvert
I enjoy parties and social events #402,Extrovert
I feel drained after social gatherings #623,Introvert
I prefer spending time alone reading books #508,Introvert
I prefer staying home on weekends #566,Introvert
I feel drained after social gatherings #347,Introvert
I avoid large crowds #142,Introvert
I like small group conversations #10,Introvert
I feel comfortable being alone #322,Introvert
I enjoy group activities #276,Extrovert
I like working in teams #100,Extrovert
I feel energized in crowds #242,Extrovert
I enjoy talking on calls for hours #195,Extrovert
I actively participate in events #821,Extrovert
I love meeting new people #901,Extrovert
I like being the center of attention #563,Extrovert
I love meeting new people #217,Extrovert
I enjoy parties and social events #172,Extrovert
I like being the center of attention #527,Extrovert
I like small group conversations #118,Introvert
I like being the center of attention #974,Extrovert
I feel drained after social gatherings #266,Introvert
I prefer staying home on weekends #556,Introvert
I feel bored when alone #799,Extrovert
I love meeting new people #274,Extrovert
I feel bored when alone #592,Extrovert
I enjoy quiet evenings at home #479,Introvert
I like being the center of attention #371,Extrovert
I like working independently #365,Introvert
I feel comfortable being alone #360,Introvert
I enjoy quiet evenings at home #309,Introvert
I like small group conversations #940,Introvert
I love meeting new people #97,Extrovert
I prefer texting over calling #559,Introvert
I love hanging out with friends #855,Extrovert
I love hanging out with friends #153,Extrovert
I love hanging out with friends #368,Extrovert
I enjoy parties and social events #501,Extrovert
I prefer spending time alone reading books #523,Introvert
I love meeting new people #636,Extrovert
I enjoy quiet evenings at home #411,Introvert
I enjoy solo hobbies like painting #124,Introvert
I like working independently #561,Introvert
I love meeting new people #668,Extrovert
I enjoy talking on calls for hours #937,Extrovert
I love hanging out with friends #523,Extrovert
I prefer staying home on weekends #28,Introvert
I prefer staying home on weekends #785,Introvert
I prefer spending time alone reading books #743,Introvert
I like working in teams #471,Extrovert
I prefer staying home on weekends #448,Introvert
I actively participate in events #873,Extrovert
I like working in teams #308,Extrovert
I feel energized in crowds #556,Extrovert
I feel comfortable being alone #987,Introvert
I enjoy talking on calls for hours #844,Extrovert
I enjoy group activities #136,Extrovert
I feel comfortable being alone #396,Introvert
I actively participate in events #372,Extrovert
I feel bored when alone #463,Extrovert
I love meeting new people #7,Extrovert
I like being the center of attention #574,Extrovert
I feel bored when alone #167,Extrovert
I actively participate in events #344,Extrovert
I feel comfortable being alone #328,Introvert
I love meeting new people #398,Extrovert
I love hanging out with friends #674,Extrovert
I love meeting new people #423,Extrovert
I enjoy group activities #175,Extrovert
I enjoy talking on calls for hours #58,Extrovert
I feel comfortable being alone #231,Introvert
I love hanging out with friends #5,Extrovert
I enjoy parties and social events #194,Extrovert
I like working in teams #459,Extrovert
I actively participate in events #888,Extrovert
I enjoy quiet evenings at home #334,Introvert
I feel drained after social gatherings #938,Introvert
I feel drained after social gatherings #572,Introvert
I love meeting new people #178,Extrovert
I enjoy parties and social events #858,Extrovert
I prefer texting over calling #790,Introvert
I like being the center of attention #302,Extrovert
I prefer texting over calling #671,Introvert
I actively participate in events #642,Extrovert
I like being the center of attention #82,Extrovert
I prefer staying home on weekends #456,Introvert
I actively participate in events #620,Extrovert
I enjoy solo hobbies like painting #894,Introvert
I love hanging out with friends #40,Extrovert
I prefer staying home on weekends #927,Introvert
I prefer staying home on weekends #441,Introvert
I like working in teams #748,Extrovert
I enjoy talking on calls for hours #152,Extrovert
I enjoy group activities #833,Extrovert
I love meeting new people #488,Extrovert
I prefer texting over calling #410,Introvert
I prefer spending time alone reading books #857,Introvert
I feel drained after social gatherings #710,Introvert
I like working independently #311,Introvert
I enjoy solo hobbies like painting #38,Introvert
I like working in teams #547,Extrovert
I love meeting new people #921,Extrovert
I prefer texting over calling #943,Introvert
I like working in teams #109,Extrovert
I avoid large crowds #308,Introvert
I like working independently #245,Introvert
I enjoy parties and social events #854,Extrovert
I enjoy group activities #535,Extrovert
I enjoy solo hobbies like painting #542,Introvert
I prefer spending time alone reading books #620,Introvert
I like working independently #100,Introvert
I like working independently #68,Introvert
I feel comfortable being alone #755,Introvert
I enjoy quiet evenings at home #152,Introvert
I feel comfortable being alone #957,Introvert
I prefer staying home on weekends #71,Introvert
I feel comfortable being alone #176,Introvert
I feel bored when alone #213,Extrovert
I prefer texting over calling #993,Introvert
I like small group conversations #337,Introvert
I enjoy quiet evenings at home #564,Introvert
I like working in teams #367,Extrovert
I enjoy solo hobbies like painting #725,Introvert
I like working in teams #808,Extrovert
I feel energized in crowds #91,Extrovert
I enjoy quiet evenings at home #919,Introvert
I feel comfortable being alone #348,Introvert
I feel drained after social gatherings #812,Introvert
I like small group conversations #707,Introvert
I like working independently #921,Introvert
I prefer spending time alone reading books #375,Introvert
I love meeting new people #256,Extrovert
I prefer spending time alone reading books #781,Introvert
I prefer texting over calling #344,Introvert
I enjoy quiet evenings at home #258,Introvert
I enjoy quiet evenings at home #709,Introvert
I prefer staying home on weekends #180,Introvert
I enjoy quiet evenings at home #255,Introvert
I enjoy quiet evenings at home #689,Introvert
I like working independently #91,Introvert
I like working in teams #72,Extrovert
I prefer spending time alone reading books #384,Introvert
I feel energized in crowds #293,Extrovert
I love meeting new people #820,Extrovert
I like working in teams #564,Extrovert
I enjoy solo hobbies like painting #445,Introvert
I enjoy parties and social events #390,Extrovert
I prefer spending time alone reading books #726,Introvert
I like small group conversations #412,Introvert
I feel comfortable being alone #78,Introvert
I like working in teams #200,Extrovert
I feel energized in crowds #830,Extrovert
I actively participate in events #139,Extrovert
I like working in teams #754,Extrovert
I prefer staying home on weekends #594,Introvert
I like working in teams #389,Extrovert
I avoid large crowds #782,Introvert
I like small group conversations #113,Introvert
I love hanging out with friends #767,Extrovert
I enjoy group activities #254,Extrovert
I avoid large crowds #590,Introvert
I enjoy parties and social events #927,Extrovert
I like working independently #905,Introvert
I love hanging out with friends #848,Extrovert
I like working independently #29,Introvert
I prefer staying home on weekends #708,Introvert
I enjoy talking on calls for hours #66,Extrovert
I feel drained after social gatherings #325,Introvert
I feel comfortable being alone #424,Introvert
I feel energized in crowds #159,Extrovert
I like being the center of attention #714,Extrovert
I feel energized in crowds #689,Extrovert
I actively participate in events #541,Extrovert
I like working in teams #121,Extrovert
I feel bored when alone #14,Extrovert
I like being the center of attention #209,Extrovert
I enjoy group activities #623,Extrovert
I enjoy parties and social events #116,Extrovert
I like working in teams #125,Extrovert
I like small group conversations #696,Introvert
I feel energized in crowds #29,Extrovert
I feel bored when alone #961,Extrovert
I enjoy solo hobbies like painting #632,Introvert
I like working independently #453,Introvert
I feel bored when alone #415,Extrovert
I enjoy talking on calls for hours #259,Extrovert
I enjoy parties and social events #358,Extrovert
I like being the center of attention #13,Extrovert
I enjoy talking on calls for hours #640,Extrovert
I feel energized in crowds #930,Extrovert
I like working in teams #228,Extrovert
I enjoy talking on calls for hours #859,Extrovert
I enjoy group activities #417,Extrovert
I enjoy parties and social events #400,Extrovert
I like small group conversations #458,Introvert
I actively participate in events #482,Extrovert
I like small group conversations #316,Introvert
I like small group conversations #436,Introvert
I feel comfortable being alone #183,Introvert
I love meeting new people #601,Extrovert
I feel comfortable being alone #30,Introvert
I feel bored when alone #739,Extrovert
I enjoy group activities #832,Extrovert
I enjoy quiet evenings at home #654,Introvert
I prefer spending time alone reading books #421,Introvert
I love hanging out with friends #489,Extrovert
I actively participate in events #171,Extrovert
I avoid large crowds #606,Introvert
I enjoy group activities #56,Extrovert
I enjoy group activities #179,Extrovert
I prefer texting over calling #768,Introvert
I enjoy quiet evenings at home #526,Introvert
I actively participate in events #16,Extrovert
I prefer spending time alone reading books #783,Introvert
I enjoy group activities #314,Extrovert
I actively participate in events #682,Extrovert
I feel bored when alone #162,Extrovert
I feel drained after social gatherings #840,Introvert
I like being the center of attention #978,Extrovert
I like working in teams #819,Extrovert
I actively participate in events #962,Extrovert
I like being the center of attention #598,Extrovert
I actively participate in events #627,Extrovert
I avoid large crowds #97,Introvert
I enjoy quiet evenings at home #619,Introvert
I enjoy talking on calls for hours #672,Extrovert
I enjoy quiet evenings at home #513,Introvert
I love meeting new people #337,Extrovert
I feel bored when alone #289,Extrovert
I love hanging out with friends #395,Extrovert
I feel drained after social gatherings #326,Introvert
I feel energized in crowds #591,Extrovert
I prefer staying home on weekends #79,Introvert
I feel comfortable being alone #604,Introvert
I avoid large crowds #534,Introvert
I prefer staying home on weekends #833,Introvert
I prefer texting over calling #659,Introvert
I prefer texting over calling #364,Introvert
I enjoy solo hobbies like painting #837,Introvert
I love meeting new people #849,Extrovert
I enjoy quiet evenings at home #608,Introvert
I like small group conversations #55,Introvert
I love meeting new people #426,Extrovert
I prefer staying home on weekends #265,Introvert
I feel bored when alone #319,Extrovert
I enjoy solo hobbies like painting #969,Introvert
I enjoy talking on calls for hours #692,Extrovert
I prefer staying home on weekends #2,Introvert
I like small group conversations #490,Introvert
I feel bored when alone #948,Extrovert
I actively participate in events #150,Extrovert
I like being the center of attention #594,Extrovert
I prefer texting over calling #480,Introvert
I like small group conversations #430,Introvert
I enjoy talking on calls for hours #964,Extrovert
I enjoy quiet evenings at home #351,Introvert
I enjoy solo hobbies like painting #26,Introvert
I enjoy quiet evenings at home #516,Introvert
I enjoy talking on calls for hours #369,Extrovert
I like being the center of attention #173,Extrovert
I feel energized in crowds #115,Extrovert
I prefer staying home on weekends #574,Introvert
I like working independently #383,Introvert
I prefer spending time alone reading books #145,Introvert
I enjoy talking on calls for hours #480,Extrovert
I like working independently #549,Introvert
I prefer spending time alone reading books #680,Introvert
I prefer staying home on weekends #250,Introvert
I feel drained after social gatherings #205,Introvert
I like small group conversations #404,Introvert
I enjoy parties and social events #360,Extrovert
I prefer texting over calling #209,Introvert
I prefer texting over calling #517,Introvert
I feel comfortable being alone #148,Introvert
I enjoy solo hobbies like painting #464,Introvert
I enjoy talking on calls for hours #236,Extrovert
I feel energized in crowds #900,Extrovert
I enjoy talking on calls for hours #88,Extrovert
I like being the center of attention #290,Extrovert
I enjoy parties and social events #912,Extrovert
I avoid large crowds #988,Introvert
I love meeting new people #973,Extrovert
I prefer staying home on weekends #380,Introvert
I feel comfortable being alone #963,Introvert
I feel drained after social gatherings #614,Introvert
I feel comfortable being alone #115,Introvert
I like working in teams #348,Extrovert
I enjoy talking on calls for hours #464,Extrovert
I like small group conversations #32,Introvert
I love hanging out with friends #586,Extrovert
I enjoy solo hobbies like painting #589,Introvert
I like working in teams #374,Extrovert
I prefer spending time alone reading books #649,Introvert
I enjoy solo hobbies like painting #74,Introvert
I enjoy quiet evenings at home #444,Introvert
I avoid large crowds #106,Introvert
I enjoy parties and social events #329,Extrovert
I enjoy parties and social events #878,Extrovert
I avoid large crowds #50,Introvert
I feel comfortable being alone #270,Introvert
I enjoy parties and social events #727,Extrovert
I like working independently #699,Introvert
I love meeting new people #751,Extrovert
I feel energized in crowds #560,Extrovert
I enjoy quiet evenings at home #394,Introvert
I love hanging out with friends #690,Extrovert
I enjoy parties and social events #513,Extrovert
I enjoy talking on calls for hours #769,Extrovert
I like being the center of attention #192,Extrovert
I enjoy parties and social events #223,Extrovert
I enjoy group activities #910,Extrovert
I prefer staying home on weekends #471,Introvert
I enjoy group activities #582,Extrovert
I like working in teams #204,Extrovert
I love meeting new people #996,Extrovert
I feel comfortable being alone #509,Introvert
I feel comfortable being alone #800,Introvert
I enjoy group activities #474,Extrovert
I feel comfortable being alone #319,Introvert
I prefer texting over calling #77,Introvert
I enjoy group activities #502,Extrovert
I prefer texting over calling #862,Introvert
I prefer staying home on weekends #630,Introvert
I prefer spending time alone reading books #748,Introvert
I enjoy talking on calls for hours #161,Extrovert
I enjoy talking on calls for hours #510,Extrovert
I enjoy solo hobbies like painting #247,Introvert
I feel drained after social gatherings #625,Introvert
I prefer staying home on weekends #186,Introvert
I love hanging out with friends #174,Extrovert
I feel comfortable being alone #724,Introvert
I love hanging out with friends #321,Extrovert
I enjoy quiet evenings at home #136,Introvert
I enjoy solo hobbies like painting #498,Introvert
I like working in teams #880,Extrovert
I like working in teams #860,Extrovert
I enjoy quiet evenings at home #896,Introvert
I enjoy talking on calls for hours #904,Extrovert
I enjoy talking on calls for hours #12,Extrovert
I enjoy talking on calls for hours #947,Extrovert
I enjoy group activities #304,Extrovert
I actively participate in events #135,Extrovert
I like being the center of attention #795,Extrovert
I enjoy solo hobbies like painting #329,Introvert
I love hanging out with friends #928,Extrovert
I enjoy solo hobbies like painting #80,Introvert
I enjoy talking on calls for hours #729,Extrovert
I actively participate in events #775,Extrovert
I love hanging out with friends #757,Extrovert
I like being the center of attention #540,Extrovert
I feel comfortable being alone #184,Introvert
I love meeting new people #409,Extrovert
I like working independently #39,Introvert
I prefer spending time alone reading books #476,Introvert
I like small group conversations #552,Introvert
I feel drained after social gatherings #970,Introvert
I like working in teams #969,Extrovert
I prefer texting over calling #558,Introvert
I enjoy talking on calls for hours #31,Extrovert
I prefer texting over calling #213,Introvert
I enjoy group activities #705,Extrovert
I like working in teams #644,Extrovert
I love hanging out with friends #809,Extrovert
I avoid large crowds #805,Introvert
I like working independently #9,Introvert
I enjoy solo hobbies like painting #312,Introvert
I enjoy parties and social events #155,Extrovert
I enjoy solo hobbies like painting #173,Introvert
I feel bored when alone #807,Extrovert
I prefer staying home on weekends #290,Introvert
I actively participate in events #146,Extrovert
I actively participate in events #655,Extrovert
I enjoy quiet evenings at home #532,Introvert
I enjoy parties and social events #571,Extrovert
I feel bored when alone #516,Extrovert
I like small group conversations #789,Introvert
I enjoy talking on calls for hours #467,Extrovert
I feel comfortable being alone #633,Introvert
I like working independently #130,Introvert
I enjoy group activities #870,Extrovert
I feel bored when alone #864,Extrovert
I prefer texting over calling #269,Introvert
I prefer spending time alone reading books #276,Introvert
I enjoy solo hobbies like painting #355,Introvert
I prefer staying home on weekends #848,Introvert
I love hanging out with friends #939,Extrovert
I feel comfortable being alone #952,Introvert
I prefer spending time alone reading books #551,Introvert
I feel energized in crowds #309,Extrovert
I prefer staying home on weekends #310,Introvert
I enjoy solo hobbies like painting #560,Introvert
I prefer texting over calling #651,Introvert
I feel comfortable being alone #912,Introvert
I love meeting new people #26,Extrovert
I like being the center of attention #802,Extrovert
I feel energized in crowds #73,Extrovert
I feel drained after social gatherings #907,Introvert
I enjoy solo hobbies like painting #615,Introvert
I prefer texting over calling #194,Introvert
I enjoy talking on calls for hours #950,Extrovert
I enjoy talking on calls for hours #738,Extrovert
I like working independently #694,Introvert
I prefer spending time alone reading books #264,Introvert
I prefer staying home on weekends #15,Introvert
I feel drained after social gatherings #192,Introvert
I enjoy group activities #511,Extrovert
I like working in teams #454,Extrovert
I prefer staying home on weekends #716,Introvert
I like small group conversations #398,Introvert
I enjoy group activities #688,Extrovert
I enjoy talking on calls for hours #602,Extrovert
I enjoy solo hobbies like painting #159,Introvert
I enjoy solo hobbies like painting #252,Introvert
I love meeting new people #801,Extrovert
I enjoy solo hobbies like painting #166,Introvert
I actively participate in events #433,Extrovert
I prefer texting over calling #553,Introvert
I enjoy solo hobbies like painting #937,Introvert
I avoid large crowds #465,Introvert
I love hanging out with friends #207,Extrovert
I feel bored when alone #977,Extrovert
I enjoy group activities #491,Extrovert
I enjoy group activities #101,Extrovert
I avoid large crowds #732,Introvert
I love meeting new people #128,Extrovert
I feel energized in crowds #495,Extrovert
I enjoy parties and social events #278,Extrovert
I enjoy talking on calls for hours #943,Extrovert
I enjoy talking on calls for hours #357,Extrovert
I like working in teams #585,Extrovert
I feel bored when alone #393,Extrovert
I actively participate in events #826,Extrovert
I feel bored when alone #243,Extrovert
I like being the center of attention #503,Extrovert
I enjoy solo hobbies like painting #177,Introvert
I actively participate in events #403,Extrovert
I enjoy solo hobbies like painting #17,Introvert
I enjoy talking on calls for hours #484,Extrovert
I enjoy group activities #378,Extrovert
I feel bored when alone #38,Extrovert
I enjoy talking on calls for hours #555,Extrovert
I feel drained after social gatherings #132,Introvert
I love meeting new people #925,Extrovert
I enjoy solo hobbies like painting #447,Introvert
I enjoy quiet evenings at home #233,Introvert
I enjoy talking on calls for hours #874,Extrovert
I actively participate in events #691,Extrovert
I prefer texting over calling #43,Introvert
I feel bored when alone #19,Extrovert
I enjoy group activities #607,Extrovert
I enjoy solo hobbies like painting #25,Introvert
I feel drained after social gatherings #450,Introvert
I feel comfortable being alone #443,Introvert
I enjoy parties and social events #124,Extrovert
I love hanging out with friends #52,Extrovert
I prefer staying home on weekends #73,Introvert
I like working in teams #780,Extrovert
I like small group conversations #460,Introvert
I avoid large crowds #592,Introvert
I feel bored when alone #317,Extrovert
I love hanging out with friends #676,Extrovert
I love hanging out with friends #246,Extrovert
I avoid large crowds #84,Introvert
I love hanging out with friends #847,Extrovert
I like working in teams #9,Extrovert
I enjoy group activities #621,Extrovert
I feel comfortable being alone #664,Introvert
I enjoy solo hobbies like painting #281,Introvert
I enjoy solo hobbies like painting #767,Introvert
I avoid large crowds #879,Introvert
I like working in teams #628,Extrovert
I feel energized in crowds #68,Extrovert
I feel drained after social gatherings #52,Introvert
I feel drained after social gatherings #971,Introvert
I feel comfortable being alone #751,Introvert
I like working independently #759,Introvert
I like working independently #49,Introvert
I like working independently #617,Introvert
I actively participate in events #879,Extrovert
I like working independently #189,Introvert
I prefer spending time alone reading books #399,Introvert
I avoid large crowds #413,Introvert
I like working independently #251,Introvert
I avoid large crowds #121,Introvert
I love meeting new people #886,Extrovert
I avoid large crowds #947,Introvert
I enjoy quiet evenings at home #955,Introvert
I feel drained after social gatherings #545,Introvert
I feel drained after social gatherings #512,Introvert
I prefer staying home on weekends #795,Introvert
I prefer staying home on weekends #423,Introvert
I enjoy solo hobbies like painting #646,Introvert
I feel drained after social gatherings #161,Introvert
I like small group conversations #874,Introvert
I prefer texting over calling #918,Introvert
I like working in teams #406,Extrovert
I enjoy solo hobbies like painting #968,Introvert
I enjoy quiet evenings at home #653,Introvert
I enjoy parties and social events #677,Extrovert
I love hanging out with friends #608,Extrovert
I enjoy parties and social events #777,Extrovert
I like small group conversations #655,Introvert
I feel comfortable being alone #409,Introvert
I avoid large crowds #165,Introvert
I love meeting new people #680,Extrovert
I like working independently #222,Introvert
I enjoy quiet evenings at home #390,Introvert
I enjoy talking on calls for hours #350,Extrovert
I love hanging out with friends #299,Extrovert
I like small group conversations #700,Introvert
I avoid large crowds #86,Introvert
I love hanging out with friends #857,Extrovert
I feel energized in crowds #431,Extrovert
I feel drained after social gatherings #611,Introvert
I enjoy parties and social events #15,Extrovert
I enjoy solo hobbies like painting #408,Introvert
I feel comfortable being alone #711,Introvert
I prefer texting over calling #965,Introvert
I enjoy group activities #392,Extrovert
I love meeting new people #736,Extrovert
I like being the center of attention #283,Extrovert
I enjoy talking on calls for hours #630,Extrovert
I like working independently #155,Introvert
I feel drained after social gatherings #996,Introvert
I feel energized in crowds #551,Extrovert
I like working in teams #103,Extrovert
I feel energized in crowds #773,Extrovert
I enjoy quiet evenings at home #521,Introvert
I avoid large crowds #997,Introvert
I like small group conversations #756,Introvert
I enjoy talking on calls for hours #361,Extrovert
I enjoy parties and social events #250,Extrovert
I prefer staying home on weekends #21,Introvert
I feel bored when alone #718,Extrovert
I enjoy quiet evenings at home #87,Introvert
I feel bored when alone #617,Extrovert
I enjoy parties and social events #846,Extrovert
I enjoy talking on calls for hours #892,Extrovert
I like working independently #249,Introvert
I prefer texting over calling #953,Introvert
I like small group conversations #600,Introvert
I love meeting new people #831,Extrovert
I feel energized in crowds #536,Extrovert
I like small group conversations #452,Introvert
I enjoy quiet evenings at home #640,Introvert
I feel drained after social gatherings #528,Introvert
I love meeting new people #288,Extrovert
I enjoy solo hobbies like painting #579,Introvert
I feel bored when alone #793,Extrovert
I feel energized in crowds #212,Extrovert
I love hanging out with friends #468,Extrovert
I prefer texting over calling #317,Introvert
I enjoy group activities #76,Extrovert
I love meeting new people #268,Extrovert
I enjoy group activities #622,Extrovert
I feel drained after social gatherings #457,Introvert
I enjoy talking on calls for hours #732,Extrovert
I love meeting new people #500,Extrovert
I prefer spending time alone reading books #576,Introvert
I love hanging out with friends #533,Extrovert
I feel energized in crowds #604,Extrovert
I prefer staying home on weekends #164,Introvert
I actively participate in events #981,Extrovert
I love meeting new people #771,Extrovert
I feel energized in crowds #496,Extrovert
I actively participate in events #84,Extrovert
I enjoy parties and social events #972,Extrovert
I prefer staying home on weekends #577,Introvert
I like being the center of attention #343,Extrovert
I avoid large crowds #42,Introvert
I enjoy solo hobbies like painting #403,Introvert
I enjoy solo hobbies like painting #387,Introvert
I actively participate in events #275,Extrovert
I prefer spending time alone reading books #330,Introvert
I prefer spending time alone reading books #434,Introvert
I like being the center of attention #647,Extrovert
I enjoy solo hobbies like painting #449,Introvert
I like working in teams #220,Extrovert
I like being the center of attention #168,Extrovert
I love meeting new people #255,Extrovert
I enjoy solo hobbies like painting #451,Introvert
I feel energized in crowds #219,Extrovert
I enjoy solo hobbies like painting #442,Introvert
I like small group conversations #792,Introvert
I enjoy group activities #786,Extrovert
I enjoy parties and social events #253,Extrovert
I like working independently #739,Introvert
I like working in teams #827,Extrovert
I love hanging out with friends #845,Extrovert
I enjoy solo hobbies like painting #285,Introvert
I avoid large crowds #181,Introvert
I prefer staying home on weekends #816,Introvert
I avoid large crowds #942,Introvert
